First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Cody,Floyd,,--,--,--,,2,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 18, 1988"
Scott,Bessac,,"6' 4""",245 lbs.,--,,4,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Matt,Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0,,4.36,41%,4.45,58%,N/A,0.64,28%,61%,0.3,"Dec 28, 1984"
Allen,Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4,3,0,,0.92,80%,0.92,33%,N/A,6.87,100%,0%,3.4,"Aug 25, 1974"
Edson,Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17,12,1,,1.76,36%,4.62,47%,N/A,5.47,40%,0%,2.7,"Jul 05, 1983"
Dieusel,Berto,,"5' 9""",200 lbs.,--,,0,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Keith,Berry,,"6' 1""",185 lbs.,--,,15,14,1,,0.27,12%,6.27,28%,N/A,0.00,0%,0%,0.0,"Oct 25, 1987"
Johnny,Cisneros,The Tattooed Terror,"5' 11""",170 lbs.,--,,9,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Feb 05, 1980"
Dave,Berry,,--,--,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Misha,Cirkunov,,"6' 3""",205 lbs.,"77.0""",Orthodox,15,9,0,,3.86,51%,3.06,57%,N/A,4.15,39%,76%,1.7,"Feb 27, 1987"
Laverne,Clark,,"5' 11""",170 lbs.,--,Orthodox,27,21,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 02, 1973"
Nikolajus,Cilkinas,,--,--,--,Orthodox,2,6,0,,0.00,0%,5.88,16%,N/A,0.00,0%,0%,0.0,--
Mike,Ciesnolevicz,,"6' 0""",235 lbs.,--,Orthodox,19,4,0,,0.51,50%,4.62,57%,N/A,0.00,0%,20%,5.1,"Oct 28, 1979"
Branko,Cikatic,,"6' 1""",215 lbs.,--,Orthodox,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Oct 03, 1954"
Bogdan,Grad,The Unleashed,"5' 8""",145 lbs.,"70.0""",Orthodox,14,2,0,,6.35,47%,10.25,49%,N/A,2.75,42%,0%,0.0,"Sep 28, 1995"
Murad,Chunkaiev,,"5' 11""",185 lbs.,--,Orthodox,8,4,0,,0.85,16%,3.41,66%,N/A,8.53,100%,0%,0.0,--
Cameron,Church,,"5' 11""",155 lbs.,"72.0""",Orthodox,4,1,0,,4.00,40%,4.93,50%,N/A,0.00,0%,60%,1.0,"Sep 27, 1990"
Neiman,Gracie,,"6' 0""",170 lbs.,--,,6,0,0,,0.77,100%,0.38,75%,N/A,5.77,100%,0%,5.8,--
Kron,Gracie,,"5' 9""",145 lbs.,"70.0""",Southpaw,5,2,0,,3.74,44%,6.82,53%,N/A,0.47,25%,0%,0.5,"Jul 11, 1988"
Igor,Gracie,,"5' 11""",170 lbs.,--,,5,4,0,,1.86,60%,0.99,50%,N/A,3.72,50%,0%,3.7,"Feb 04, 1980"
Hannah,Cifers,Shockwave,"5' 1""",115 lbs.,"62.0""",Orthodox,10,7,0,,4.99,44%,5.39,52%,N/A,0.26,100%,64%,0.3,"Jun 26, 1992"
Steven,Ciaccio,Stryker,"6' 0""",170 lbs.,--,,4,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Roger,Gracie,,"6' 4""",185 lbs.,"79.0""",Orthodox,8,2,0,,1.78,35%,1.79,61%,N/A,1.87,53%,60%,1.9,"Sep 26, 1981"
Cesar,Gracie,,"5' 10""",181 lbs.,--,Orthodox,0,1,0,,0.00,0%,17.14,50%,N/A,0.00,0%,0%,0.0,--
Ralek,Gracie,,"6' 2""",210 lbs.,--,Orthodox,3,1,0,,1.61,46%,1.05,55%,N/A,2.50,75%,0%,1.7,"Oct 04, 1985"
Rolles,Gracie,,"6' 4""",242 lbs.,--,Orthodox,8,4,0,,2.30,32%,3.38,55%,N/A,2.30,10%,0%,0.0,"Jul 14, 1978"
Ryan,Gracie,,"5' 9""",200 lbs.,--,Orthodox,5,2,0,,0.82,61%,0.50,40%,N/A,2.83,75%,25%,0.9,"Aug 14, 1974"
Sedriques,Dumas,The Reaper,"6' 2""",185 lbs.,"79.0""",Orthodox,10,2,0,,2.15,48%,2.03,58%,N/A,1.31,35%,40%,0.3,"Aug 06, 1995"
Isaac,Dulgarian,The Midwest Choppa,"5' 7""",145 lbs.,"71.0""",Orthodox,7,1,0,,3.37,64%,1.82,41%,N/A,5.15,52%,0%,2.1,"Jul 04, 1996"
Islam,Dulatov,The Ripper,--,170 lbs.,--,,10,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Kelly,Dullanty,Psycho,"5' 8""",155 lbs.,--,Orthodox,4,2,0,,0.00,0%,0.67,75%,N/A,0.00,0%,66%,0.0,"Nov 04, 1977"
Royler,Gracie,,"5' 8""",150 lbs.,--,Southpaw,5,5,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 06, 1965"
Jessamyn,Duke,The Gun,"5' 11""",135 lbs.,"73.0""",Orthodox,3,5,0,,4.83,53%,4.43,57%,N/A,1.27,36%,50%,1.9,"Jun 24, 1986"
Joe,Duffy,Irish,"5' 10""",155 lbs.,"73.0""",Orthodox,16,5,0,,2.68,34%,3.78,54%,N/A,0.96,66%,64%,0.7,"Feb 18, 1988"
Alexis,Dufresne,Sneaky Zebra,"5' 9""",135 lbs.,--,Orthodox,6,3,0,,1.33,27%,3.33,60%,N/A,1.50,50%,50%,0.0,"Aug 31, 1990"
Jack,Duffy,The Fury,"5' 7""",125 lbs.,"69.0""",Switch,7,1,0,,5.07,69%,2.13,52%,N/A,0.00,0%,62%,0.0,"Oct 02, 1995"
Dhafir,Harris,Dada 5000,--,257 lbs.,--,,2,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Aug 04, 1977"
Adin,Duenas,,"5' 6""",145 lbs.,--,,6,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 02, 1988"
Todd,Duffee,,"6' 3""",260 lbs.,"78.0""",Orthodox,9,3,0,,5.93,37%,2.87,56%,N/A,0.72,25%,90%,0.0,"Dec 06, 1985"
Walt,Harris,The Big Ticket,"6' 5""",250 lbs.,"77.0""",Southpaw,13,10,0,,3.05,39%,3.33,54%,N/A,0.29,28%,70%,0.1,"Jun 10, 1983"
Phil,Harris,Billy,"5' 4""",125 lbs.,"65.0""",Orthodox,22,12,0,,2.34,26%,3.16,68%,N/A,1.76,21%,60%,0.0,"Sep 04, 1983"
Gerald,Harris,,"5' 11""",185 lbs.,"77.0""",Southpaw,23,5,0,,1.41,29%,1.58,62%,N/A,2.96,54%,72%,0.0,"Nov 19, 1979"
Gerry,Harris,,"6' 8""",270 lbs.,--,Orthodox,1,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Josiah,Harrell,Muscle Hamster,"5' 7""",170 lbs.,"68.0""",Southpaw,7,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Nov 13, 1998"
Baru,Harn,Seiryu,--,265 lbs.,--,,1,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Tobias,Harila,Bad Intention,--,--,--,,12,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jan 13, 1994"
Scott,Harper,,"6' 0""",185 lbs.,--,Orthodox,12,7,0,,1.30,54%,4.98,47%,N/A,3.25,100%,0%,0.0,"Apr 14, 1972"
Ricky,Johnson,,"5' 8""",145 lbs.,--,Orthodox,10,6,0,,1.83,25%,6.30,36%,N/A,0.00,0%,0%,0.0,--
Tony,Johnson,,"6' 2""",205 lbs.,"76.0""",Orthodox,7,2,0,,4.00,92%,3.67,22%,N/A,0.00,0%,90%,0.0,"May 02, 1983"
Greg,Hardy,Prince of War,"6' 5""",265 lbs.,"80.0""",Orthodox,7,5,0,,4.79,50%,3.31,55%,N/A,0.20,33%,64%,0.0,"Jul 28, 1988"
Travis,Johnson,,--,205 lbs.,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Lavar,Johnson,Big,"6' 4""",240 lbs.,"82.0""",Orthodox,18,10,0,,5.39,55%,2.54,55%,N/A,0.61,66%,54%,0.6,"Jun 11, 1977"
Devin,Johnson,,--,--,--,,1,1,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
DaMarques,Johnson,Darkness,"6' 1""",170 lbs.,"75.0""",Orthodox,15,15,0,,2.11,37%,3.75,51%,N/A,1.18,55%,19%,0.7,"Jun 28, 1982"
Miles,Johns,Chapo,"5' 7""",135 lbs.,"66.0""",Orthodox,15,2,0,,3.28,47%,2.54,69%,N/A,1.02,20%,85%,0.0,"Mar 30, 1994"
Phil,Johns,,"5' 2""",170 lbs.,--,Southpaw,30,14,1,,1.20,66%,1.80,50%,N/A,0.00,0%,50%,0.0,"Oct 22, 1968"
Anthony,Johnson,Rumble,"6' 2""",205 lbs.,"78.0""",Orthodox,22,6,0,,3.25,47%,1.83,60%,N/A,2.43,57%,77%,0.6,"Mar 06, 1984"
Brett,Johns,The Pikey,"5' 7""",135 lbs.,"71.0""",Orthodox,17,2,0,,2.86,49%,3.84,53%,N/A,4.92,49%,58%,1.0,"Feb 21, 1992"
Alejandro,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0,,3.66,40%,2.02,54%,N/A,0.00,0%,0%,0.0,"Aug 06, 1991"
Ty,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0,,2.00,37%,7.80,25%,N/A,1.00,9%,0%,0.0,"Dec 22, 1993"
Luke,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0,,1.56,44%,1.88,60%,N/A,0.00,0%,40%,1.2,"Mar 17, 1988"
AJ,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,10,3,0,,3.36,49%,4.61,46%,N/A,1.54,35%,33%,0.9,"Feb 18, 1997"
Jimmy,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,17,8,0,,1.94,50%,5.43,43%,N/A,1.55,21%,0%,4.3,"Sep 07, 1990"
Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0,,3.10,34%,2.97,62%,N/A,0.00,0%,27%,0.0,"Jan 08, 1983"
Nathan,Fletcher,,"5' 7""",145 lbs.,"70.0""",Orthodox,9,1,0,,2.25,70%,0.96,40%,N/A,9.63,66%,0%,2.4,"Jan 03, 1998"
Rafael,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,12,3,0,,4.90,51%,4.97,49%,N/A,0.29,40%,89%,0.0,"Mar 05, 1993"
Talita,Bernardo,,"5' 4""",135 lbs.,"68.0""",Orthodox,6,4,0,,3.12,42%,4.04,55%,N/A,1.62,22%,28%,0.5,"Mar 04, 1987"
Isi,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Jon,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1,,2.61,50%,1.65,54%,N/A,3.60,51%,56%,0.8,"Feb 24, 1978"
Manny,Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71.0""",Orthodox,14,2,0,,2.92,61%,2.68,46%,N/A,3.06,54%,0%,3.1,"Jul 16, 1994"
Bret,Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6,1,1,,2.78,52%,2.78,37%,N/A,4.17,100%,50%,4.2,"Nov 24, 1973"
Keith,Berish,Sha Bang Bang,"6' 0""",205 lbs.,--,Orthodox,5,1,0,,3.58,36%,4.81,62%,N/A,1.76,40%,0%,0.0,"Nov 14, 1985"
Steve,Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21,23,2,,1.00,27%,3.26,36%,N/A,0.84,40%,16%,1.7,"May 20, 1973"
Dennis,Bermudez,The Menace,"5' 6""",155 lbs.,"66.0""",Orthodox,17,9,0,,4.42,46%,3.07,59%,N/A,3.89,40%,82%,1.1,"Dec 13, 1986"
Pat,Benson,,"5' 9""",155 lbs.,--,,3,5,3,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Len,Bentley,,"5' 9""",155 lbs.,--,,10,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Nov 30, 1982"
Kenneth,Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0,,4.56,75%,1.27,28%,N/A,0.00,0%,0%,0.0,"Jun 26, 1989"
Kevin,Christian,,--,205 lbs.,--,,8,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jan 21, 1995"
Anthony,Christodoulou,,"5' 9""",155 lbs.,--,Orthodox,12,7,0,,2.19,26%,5.90,45%,N/A,0.00,0%,40%,0.0,"Jul 30, 1987"
Dan,Christison,The Sandman,"6' 8""",265 lbs.,--,Orthodox,20,7,0,,4.23,51%,3.88,54%,N/A,0.00,0%,37%,1.1,"Apr 26, 1972"
Ryan,Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0,,2.88,39%,3.65,58%,N/A,0.28,22%,72%,0.4,"Aug 25, 1989"
Joachim,Christensen,,"6' 3""",205 lbs.,"76.0""",Orthodox,14,6,0,,3.78,41%,3.29,46%,N/A,0.00,0%,0%,0.0,"Nov 07, 1978"
Will,Chope,The Kill,"6' 4""",145 lbs.,--,Switch,34,13,0,,4.43,27%,9.93,46%,N/A,0.00,0%,0%,0.0,"Sep 08, 1990"
John,Cholish,,"5' 11""",155 lbs.,"74.0""",Orthodox,8,3,0,,2.65,49%,2.29,73%,N/A,1.82,31%,78%,0.4,"Dec 17, 1983"
SeungGuk,Choi,,"5' 6""",125 lbs.,"64.0""",Orthodox,7,3,0,,2.69,42%,2.69,65%,N/A,1.02,27%,74%,0.0,"Dec 26, 1996"
Ryo,Chonan,Piranah,"5' 9""",170 lbs.,"70.0""",Orthodox,22,13,0,,2.57,43%,2.25,60%,N/A,0.61,41%,39%,0.3,"Oct 08, 1976"
Rodrigo,Gracie,,"6' 0""",183 lbs.,--,Orthodox,6,2,1,,1.34,51%,0.86,46%,N/A,1.49,50%,75%,0.4,"Apr 11, 1975"
Ralph,Gracie,,"5' 9""",183 lbs.,--,Orthodox,6,1,0,,0.86,37%,1.72,31%,N/A,0.00,0%,25%,4.0,--
Rickson,Gracie,,"5' 10""",185 lbs.,--,Switch,11,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Nov 20, 1958"
SeungWoo,Choi,Sting,"6' 0""",145 lbs.,"74.0""",Orthodox,11,7,0,,3.51,39%,3.12,47%,N/A,0.86,54%,70%,0.0,"Nov 03, 1992"
Renzo,Gracie,,"5' 10""",185 lbs.,--,Orthodox,13,7,1,,1.71,41%,1.67,55%,N/A,1.13,20%,40%,0.8,"Mar 11, 1967"
Daniel,Gracie,,"6' 2""",225 lbs.,--,Orthodox,5,4,1,,1.90,38%,1.33,59%,N/A,0.36,100%,80%,2.1,--
DongHun,Choi,,"5' 5""",125 lbs.,"66.0""",Switch,8,0,0,,4.53,66%,3.33,55%,N/A,0.50,14%,81%,0.0,"Jan 02, 1999"
Crosley,Gracie,,"5' 9""",190 lbs.,--,Orthodox,2,2,0,,1.69,37%,1.54,60%,N/A,3.46,85%,50%,0.6,"Jul 18, 1979"
Justin,Governale,The Therapist,--,145 lbs.,--,,5,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Royce,Gracie,,"6' 1""",175 lbs.,--,Southpaw,15,2,3,,0.88,41%,1.13,37%,N/A,0.00,0%,66%,0.8,"Dec 12, 1966"
Damian,Grabowski,The Polish Pitbull,"6' 1""",241 lbs.,"75.0""",Orthodox,20,5,0,,4.00,36%,7.65,51%,N/A,0.00,0%,0%,0.0,"May 12, 1980"
Patryk,Grabowski,Czapla,--,205 lbs.,--,,5,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Nov 12, 1995"
Viktoriia,Dudakova,,"5' 5""",115 lbs.,"67.0""",Orthodox,8,1,0,,3.45,48%,3.77,49%,N/A,2.63,36%,50%,0.0,"Jan 26, 1999"
Milana,Dudieva,,"5' 3""",135 lbs.,--,Orthodox,11,6,0,,0.87,31%,3.43,58%,N/A,2.34,45%,0%,0.0,"Aug 04, 1989"
Emily,Ducote,Gordinha,"5' 2""",115 lbs.,"63.0""",Orthodox,13,9,0,,7.45,52%,7.84,57%,N/A,0.20,14%,94%,0.0,"Jan 01, 1994"
Matthieu,Duclos,,"6' 3""",185 lbs.,"77.0""",Orthodox,6,3,0,,3.93,37%,6.81,46%,N/A,0.00,0%,100%,0.0,"Apr 04, 1995"
Antonio,Duarte,Tigre,"5' 7""",135 lbs.,--,,19,7,0,,4.55,40%,4.18,57%,N/A,0.00,0%,60%,0.0,--
Yuneisy,Duben,,"5' 4""",125 lbs.,"65.0""",Orthodox,6,0,0,,20.55,64%,11.51,41%,N/A,0.00,0%,0%,0.0,"Jul 08, 1996"
Dricus,Du Plessis,Stillknocks,"6' 1""",185 lbs.,"76.0""",Switch,22,2,0,,6.18,49%,4.85,54%,N/A,3.04,50%,50%,0.9,"Jan 14, 1994"
Joe,Duarte,,--,155 lbs.,--,,10,4,0,,2.27,38%,4.00,53%,N/A,3.00,50%,69%,1.0,"Jan 25, 1977"
Hugo,Duarte,,"6' 0""",240 lbs.,--,Orthodox,6,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Aug 09, 1968"
Robert,Drysdale,,"6' 3""",205 lbs.,--,Orthodox,7,0,0,,0.00,0%,0.00,0%,N/A,7.32,100%,0%,21.9,"Oct 05, 1981"
Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,,2.16,39%,2.76,57%,N/A,1.07,50%,45%,0.3,"Jun 10, 1976"
Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,,3.92,53%,2.08,58%,N/A,1.97,34%,67%,1.3,"Mar 02, 1992"
Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,,0.76,45%,1.97,27%,N/A,2.28,11%,0%,0.0,"Jun 25, 1981"
Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,2,0,,5.73,51%,4.96,48%,N/A,0.00,0%,100%,0.0,"Feb 20, 1990"
Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,4,1,,4.38,43%,4.32,51%,N/A,1.00,37%,42%,0.0,"Mar 10, 1986"
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,,0.83,25%,5.00,33%,N/A,0.00,0%,0%,0.0,"Aug 20, 1988"
Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,,3.53,37%,3.59,58%,N/A,0.00,0%,50%,0.3,"May 31, 1992"
Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,,2.13,26%,1.87,60%,N/A,0.50,16%,100%,0.5,"Jun 07, 1983"
Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,3,0,,2.59,43%,2.86,50%,N/A,0.54,33%,50%,0.3,"May 11, 1988"
Antoni,Hardonk,,"6' 4""",245 lbs.,"78.0""",Orthodox,8,6,0,,3.40,61%,3.07,46%,N/A,0.00,0%,40%,0.9,"Feb 05, 1976"
Shin,Haraguchi,,"5' 5""",145 lbs.,"68.0""",Switch,8,2,0,,2.02,63%,1.84,43%,N/A,12.32,51%,0%,0.0,"Nov 27, 1998"
Janay,Harding,Hollowpoint,--,135 lbs.,--,,2,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Kay,Hansen,,"5' 2""",115 lbs.,"63.0""",Orthodox,7,6,0,,3.01,50%,3.19,51%,N/A,1.83,22%,37%,0.8,"Aug 14, 1999"
Nasrat,Haqparast,,"5' 10""",155 lbs.,"72.0""",Southpaw,17,5,0,,6.15,44%,5.65,62%,N/A,0.28,20%,84%,0.0,"Aug 22, 1995"
Carls,John De Tomas,,"5' 5""",125 lbs.,"71.0""",Southpaw,6,2,0,,1.74,37%,3.93,44%,N/A,1.37,33%,66%,0.0,"Aug 28, 1996"
Sung Bin,Jo,Korean Falcon,"6' 0""",145 lbs.,"72.0""",Orthodox,9,1,0,,1.40,33%,2.67,51%,N/A,1.00,33%,83%,1.0,"Jul 17, 1992"
Jinensibieke,Asikeerbai,,"5' 6""",155 lbs.,"69.0""",Orthodox,36,11,0,,2.00,50%,10.00,0%,N/A,0.00,0%,0%,0.0,"Jul 10, 1988"
,Jiniushiyue,Little King Kong,"5' 6""",125 lbs.,"68.0""",Southpaw,13,4,0,,3.00,41%,2.71,50%,N/A,0.79,28%,75%,0.0,"Dec 09, 2000"
Joachim,Hansen,Hellboy,"5' 7""",150 lbs.,--,Southpaw,23,14,1,,2.01,43%,2.04,58%,N/A,2.21,58%,34%,1.9,"May 26, 1979"
Art,Jimmerson,,"6' 1""",196 lbs.,--,Orthodox,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Aug 04, 1963"
Baergeng,Jieleyisi,,"5' 9""",135 lbs.,"70.0""",Orthodox,18,5,0,,2.18,48%,2.11,47%,N/A,1.90,71%,80%,0.4,"Nov 24, 1995"
Gilbert,Jimenez,,--,155 lbs.,--,,8,12,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Ryan,Jimmo,The Big Deal,"6' 1""",205 lbs.,"73.0""",Orthodox,19,5,0,,3.12,66%,2.77,46%,N/A,0.45,28%,87%,0.0,"Nov 27, 1981"
Bryanna,Fissori,,"5' 4""",145 lbs.,--,,2,4,0,,1.40,46%,1.20,57%,N/A,2.00,25%,50%,0.0,--
Joe,Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0,,0.00,0%,0.00,100%,N/A,0.00,0%,0%,0.0,"Mar 12, 1982"
Ronald,Jhun,The Machine Gun,"5' 11""",170 lbs.,--,Orthodox,24,26,2,,1.45,57%,3.01,50%,N/A,1.81,100%,100%,0.0,"Sep 21, 1970"
DeAnna,Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1,,3.13,58%,3.27,58%,N/A,0.00,0%,0%,1.0,"Nov 18, 1984"
Lance,Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0,,3.68,51%,2.70,56%,N/A,1.50,33%,61%,0.0,"Aug 26, 1988"
Josh,Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0,,2.90,40%,5.80,43%,N/A,1.50,100%,100%,0.0,--
Benjamin,Bennett,Mr. Alaska,"6' 0""",170 lbs.,"73.0""",Switch,6,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 08, 1994"
Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2,,1.39,39%,1.35,64%,N/A,2.02,100%,36%,2.0,"Nov 23, 1979"
Gabriel,Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,23,13,0,,5.26,41%,4.49,63%,N/A,0.22,50%,55%,0.9,"Jun 15, 1988"
Karla,Benitez,,"5' 3""",113 lbs.,--,,14,11,1,,0.00,0%,2.40,57%,N/A,0.00,0%,100%,0.0,--
Mike,Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0,,0.00,0%,3.32,53%,N/A,0.00,0%,0%,0.0,--
Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Hong Man,Choi,Techno Goliath,"7' 2""",330 lbs.,--,Orthodox,4,5,0,,1.32,26%,1.46,36%,N/A,0.71,100%,84%,0.0,"Oct 30, 1980"
Sako,Chivitchian,,"5' 11""",155 lbs.,--,Orthodox,8,1,0,,2.40,27%,4.80,46%,N/A,0.00,0%,100%,0.0,"Mar 11, 1984"
Mu Bae,Choi,,"6' 2""",230 lbs.,--,Orthodox,12,6,0,,1.55,49%,3.65,44%,N/A,3.12,75%,60%,1.0,"Jun 27, 1970"
Giga,Chikadze,Ninja,"6' 0""",145 lbs.,"74.0""",Orthodox,15,4,0,,3.92,42%,3.50,61%,N/A,0.21,33%,70%,0.2,"Aug 25, 1988"
Khamzat,Chimaev,Borz,"6' 2""",185 lbs.,"75.0""",Orthodox,13,0,0,,5.72,58%,3.46,42%,N/A,3.99,46%,100%,2.7,"May 01, 1994"
Michael,Chiesa,Maverick,"6' 1""",170 lbs.,"75.0""",Southpaw,19,7,0,,1.86,40%,1.72,53%,N/A,3.35,51%,60%,1.0,"Dec 07, 1987"
Dooho,Choi,The Korean Superboy,"5' 10""",145 lbs.,"70.0""",Orthodox,15,4,1,,4.41,53%,4.49,55%,N/A,0.75,37%,47%,0.8,"Apr 10, 1991"
Mark,Cherico,The Pride of Bloomfield,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,,3.69,34%,7.37,56%,N/A,5.03,50%,0%,0.0,"May 12, 1986"
Ion,Cherdivara,,--,205 lbs.,--,,1,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Macy,Chiasson,,"5' 11""",135 lbs.,"72.0""",Orthodox,11,3,0,,3.77,46%,2.79,44%,N/A,2.37,38%,70%,0.4,"Jul 27, 1991"
Todd,Gouwenberg,,"6' 1""",205 lbs.,--,Orthodox,9,5,0,,0.52,23%,2.93,42%,N/A,1.57,33%,50%,0.0,"Sep 25, 1974"
Hugo,Govea,,--,--,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Wilson,Gouveia,,"6' 1""",185 lbs.,"76.0""",Orthodox,14,8,0,,3.02,39%,4.06,56%,N/A,0.90,66%,57%,2.2,"Oct 03, 1978"
Thibault,Gouti,GT,"5' 10""",155 lbs.,"72.0""",Orthodox,12,5,0,,3.68,34%,5.64,50%,N/A,1.23,80%,83%,0.3,"Feb 27, 1987"
Jonathan,Goulet,The Road Warrior,"6' 0""",170 lbs.,"73.0""",Orthodox,23,12,0,,1.61,41%,2.01,46%,N/A,4.17,70%,45%,0.6,"Jul 13, 1979"
Tim,Gorman,The Psycho,"5' 5""",135 lbs.,--,Southpaw,9,4,0,,2.73,31%,5.57,46%,N/A,1.00,9%,33%,0.0,"Apr 29, 1983"
Themba,Gorimbo,The Answer,"6' 1""",170 lbs.,"77.0""",Orthodox,13,4,0,,2.53,69%,1.08,46%,N/A,4.04,58%,78%,0.0,"Jan 23, 1991"
Tresean,Gore,Mr. Vicious,"6' 0""",185 lbs.,"75.0""",Switch,5,2,0,,3.04,53%,6.13,47%,N/A,3.04,71%,81%,1.2,"Jun 21, 1994"
Chase,Gormley,,"6' 3""",265 lbs.,--,Orthodox,14,6,0,,3.60,42%,6.03,44%,N/A,3.12,42%,0%,1.0,--
Tomasz,Drwal,Gorilla,"6' 1""",205 lbs.,"76.0""",Orthodox,21,5,1,,3.29,38%,2.26,57%,N/A,3.55,60%,82%,0.4,"Jan 22, 1982"
