Name,Ht,Wt,Reach,Stance,Career W,Career L,DOB,born_year
Mehdi Baghdad,"6' 1""",155 lbs.,--,Orthodox,11,5,"Apr 13, 1985",1985
Lucas Fernando,"6' 3""",185 lbs.,"80.0""",,9,2,"Jan 10, 1997",1997
Seth Baczynski,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,"Oct 26, 1981",1981
Kaue Fernandes,"5' 9""",155 lbs.,"73.0""",Orthodox,9,2,"Mar 17, 1995",1995
Gabriella Fernandes,"5' 6""",125 lbs.,"66.0""",Southpaw,9,3,"Aug 13, 1993",1993
Alexandre Ferreira,"5' 7""",205 lbs.,--,Orthodox,18,6,"Apr 25, 1979",1979
Emily Fernandez,--,--,--,,0,0,--,--
Bibiano Fernandes,"5' 7""",139 lbs.,--,Orthodox,20,3,"Mar 30, 1980",1980
Josh Ferguson,"5' 5""",125 lbs.,--,Orthodox,10,5,"May 13, 1988",1988
CJ Fernandes,"6' 2""",170 lbs.,--,,14,8,"Nov 13, 1977",1977
Tony Ferguson,"5' 11""",170 lbs.,"76.0""",Orthodox,26,11,"Feb 12, 1984",1984
Denise Gomes,"5' 2""",115 lbs.,"63.0""",Orthodox,9,3,"Dec 30, 1999",1999
Marcelo Golm,"6' 3""",249 lbs.,"75.0""",Orthodox,6,3,"Sep 15, 1992",1992
Rhadi Ferguson,"5' 7""",205 lbs.,--,,3,0,--,--
Jonny Goh,"5' 11""",155 lbs.,--,,3,4,--,--
Amiran Gogoladze,"6' 1""",170 lbs.,"74.0""",Switch,14,3,"Dec 09, 1997",1997
Jason Godsey,"6' 2""",230 lbs.,--,Orthodox,16,16,--,--
Loopy Godinez,"5' 2""",115 lbs.,"61.0""",Orthodox,12,5,"Sep 06, 1993",1993
Kevin Ferguson,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,"Feb 08, 1974",1974
Allan Goes,"6' 0""",205 lbs.,--,Orthodox,10,5,"Apr 20, 1971",1971
Clint Godfrey,"5' 6""",135 lbs.,--,Southpaw,13,3,"Oct 21, 1982",1982
Hannah Goldy,"5' 4""",115 lbs.,"61.0""",Orthodox,6,4,"May 18, 1992",1992
Geronimo dos Santos,"6' 3""",264 lbs.,--,Orthodox,39,19,"Aug 17, 1980",1980
Mark Godbeer,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,"Nov 22, 1983",1983
Billy Ray Goff,"5' 10""",170 lbs.,"72.0""",Switch,9,3,"Jun 18, 1998",1998
Cody Donovan,"6' 3""",205 lbs.,"74.0""",Orthodox,8,5,"Feb 20, 1981",1981
Junior Dos Santos,"6' 4""",238 lbs.,"77.0""",Orthodox,21,9,"Jan 30, 1984",1984
Dong Huaxiang,"5' 3""",115 lbs.,"61.0""",Switch,12,3,"Aug 21, 1998",1998
John Donaldson,"5' 8""",145 lbs.,--,,2,2,"Jul 09, 1992",1992
Houston Dorr,"6' 1""",210 lbs.,--,Orthodox,1,2,--,--
Dennis Dombrow,--,145 lbs.,--,,7,5,"Mar 17, 1986",1986
OJ Dominguez,--,--,--,,0,1,--,--
Cameron Dollar,"5' 11""",155 lbs.,--,Orthodox,11,5,"May 12, 1987",1987
Rafael Dos Anjos,"5' 8""",170 lbs.,"70.0""",Southpaw,32,16,"Oct 26, 1984",1984
Mark Holst,"6' 0""",155 lbs.,--,Orthodox,12,6,"Aug 14, 1985",1985
CB Dollaway,"6' 2""",185 lbs.,"76.0""",Orthodox,17,9,"Aug 10, 1983",1983
Paddy Holohan,"5' 10""",125 lbs.,"69.0""",Orthodox,12,2,"May 03, 1988",1988
Scott Holtzman,"5' 9""",155 lbs.,"69.0""",Orthodox,14,6,"Sep 30, 1983",1983
Ben Holscher,"5' 11""",155 lbs.,--,,4,0,--,--
Rex Holman,"6' 3""",205 lbs.,--,Southpaw,4,2,--,--
Gabrielle Holloway,"5' 3""",145 lbs.,--,,6,5,"Apr 15, 1990",1990
Max Holloway,"5' 11""",145 lbs.,"69.0""",Orthodox,26,7,"Dec 04, 1991",1991
Holly Holm,"5' 8""",135 lbs.,"69.0""",Southpaw,15,7,"Oct 17, 1981",1981
Joseph Holmes,"6' 4""",185 lbs.,"80.0""",Orthodox,8,4,"Jul 04, 1995",1995
Kurt Holobaugh,"5' 11""",155 lbs.,"70.0""",Orthodox,22,8,"Sep 08, 1986",1986
Niklas Backstrom,"6' 1""",145 lbs.,--,Orthodox,11,3,"Aug 22, 1989",1989
Jeremie Holloway,"6' 0""",170 lbs.,--,,8,3,"Sep 29, 1984",1984
Feng Xiaocan,"5' 7""",115 lbs.,"66.0""",Southpaw,10,2,"Dec 27, 2001",2001
Feng Pengchao,--,135 lbs.,--,,15,9,--,--
Carlos Felipe,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,"Jan 12, 1995",1995
JP Felty,--,170 lbs.,--,,4,5,"Apr 28, 1979",1979
Paul Felder,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,"Apr 25, 1984",1984
Rico Farrington,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,"Jun 19, 1989",1989
Rodney Faverus,"6' 0""",215 lbs.,--,Southpaw,25,20,--,--
Kelly Faszholz,"5' 8""",135 lbs.,--,Orthodox,4,2,"Apr 09, 1985",1985
Jair Farias,"6' 1""",145 lbs.,"76.0""",Orthodox,10,1,"Mar 16, 1993",1993
Chance Farrar,"5' 9""",145 lbs.,--,Southpaw,8,3,"Sep 11, 1975",1975
Kalindra Faria,"5' 7""",125 lbs.,--,Switch,18,8,"Jul 23, 1986",1986
Mike Glenn,--,205 lbs.,--,,5,6,"Oct 09, 1977",1977
Ricky Glenn,"6' 0""",170 lbs.,"70.0""",Southpaw,22,9,"Apr 12, 1989",1989
Israel Giron,"5' 8""",155 lbs.,--,,19,5,"Jan 16, 1974",1974
Jason Glaza,"6' 0""",230 lbs.,--,,3,2,--,--
Demetrius Gioulacos,"5' 11""",185 lbs.,--,,0,1,--,--
Brandon Girtz,"5' 7""",155 lbs.,--,,14,7,"Mar 06, 1985",1985
Billy Giovanella,"5' 8""",125 lbs.,--,,9,5,"Aug 20, 1985",1985
Eperaim Ginting,"5' 4""",135 lbs.,"64.0""",Orthodox,6,1,"Nov 30, 1995",1995
Bob Gilstrap,"6' 3""",200 lbs.,--,Orthodox,5,7,--,--
He-Man Gipson,--,--,--,,1,2,--,--
Mike Dolce,"5' 11""",185 lbs.,--,,5,10,"Apr 15, 1976",1976
Roman Dolidze,"6' 2""",185 lbs.,"76.0""",Orthodox,13,3,"Jul 15, 1988",1988
Joe Doerksen,"6' 0""",185 lbs.,"75.0""",Orthodox,51,16,"Oct 09, 1977",1977
Alex Gilpin,"5' 7""",145 lbs.,--,Orthodox,11,1,"Mar 26, 1992",1992
David Dodd,"6' 2""",200 lbs.,--,Orthodox,4,7,"Sep 22, 1973",1973
Drew Dober,"5' 8""",155 lbs.,"70.0""",Southpaw,27,14,"Oct 19, 1988",1988
Shana Dobson,"5' 6""",125 lbs.,"69.0""",Orthodox,4,5,"Mar 30, 1989",1989
AJ Dobson,"6' 1""",185 lbs.,"76.0""",Orthodox,7,3,"Jan 18, 1992",1992
John Dodson,"5' 3""",135 lbs.,"66.0""",Orthodox,22,12,"Sep 26, 1984",1984
Russell Doane,"5' 7""",135 lbs.,"70.0""",Orthodox,15,8,"Aug 13, 1986",1986
John Dixson,"6' 0""",275 lbs.,--,Orthodox,15,22,--,--
Anthony Do,"5' 4""",125 lbs.,--,,4,2,--,--
Sean Holden,"5' 10""",170 lbs.,--,,5,2,"Sep 17, 1984",1984
Kevin Holland,"6' 3""",185 lbs.,"81.0""",Orthodox,26,11,"Nov 05, 1992",1992
Chris Holdsworth,"5' 11""",135 lbs.,--,,6,0,"Oct 24, 1987",1987
Chris Hofmann,"6' 0""",170 lbs.,"72.0""",Orthodox,9,2,"Nov 18, 1989",1989
Andrew Holbrook,"5' 11""",155 lbs.,"70.0""",Southpaw,12,3,"Feb 06, 1986",1986
Roger Hollett,"5' 11""",205 lbs.,--,Orthodox,13,5,"Oct 08, 1978",1978
Sam Hoger,"6' 2""",205 lbs.,--,Orthodox,10,4,"Jun 28, 1980",1980
Kwan Ho Kwak,"5' 5""",135 lbs.,--,Switch,9,2,"Jun 18, 1989",1989
Joao Paulo Faria,"5' 9""",155 lbs.,--,,1,1,--,--
Matt Hobar,"5' 10""",135 lbs.,"70.0""",Southpaw,9,3,"Jan 07, 1987",1987
Bobby Hoffman,"6' 2""",245 lbs.,--,Orthodox,36,10,"Oct 28, 1968",1968
Maiquel Falcao,"5' 11""",185 lbs.,--,Orthodox,37,10,"Mar 08, 1981",1981
An Tuan Ho,"5' 6""",125 lbs.,"66.0""",Switch,6,1,"Sep 27, 2000",2000
Pedro Falcao,"5' 6""",135 lbs.,"66.0""",Orthodox,16,4,"Jul 30, 1992",1992
Brodie Farber,"6' 1""",170 lbs.,--,Orthodox,16,7,"Jul 05, 1980",1980
Rinat Fakhretdinov,"6' 0""",170 lbs.,"74.0""",Orthodox,22,1,"Sep 28, 1991",1991
Jason Fairn,"6' 1""",230 lbs.,--,,4,5,--,--
Krishaun Gilmore,--,--,--,,0,1,--,--
Ron Faircloth,"5' 9""",205 lbs.,--,Orthodox,33,20,"Aug 16, 1979",1979
Zarah Fairn,"5' 8""",135 lbs.,"72.0""",Orthodox,6,6,"Dec 10, 1983",1983
Wagnney Fabiano,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,"Jul 14, 1975",1975
Micheal Gillmore,"5' 11""",170 lbs.,"72.0""",Orthodox,6,5,"Mar 28, 1987",1987
Bartosz Fabinski,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,"Apr 26, 1986",1986
Jason Gilliam,"6' 0""",170 lbs.,--,Orthodox,14,9,--,--
Gregor Gillespie,"5' 7""",155 lbs.,"71.0""",Orthodox,14,1,"Nov 13, 1986",1986
Joey Gilbert,"5' 11""",155 lbs.,--,Orthodox,2,3,"Jun 05, 1976",1976
Trevin Giles,"6' 0""",170 lbs.,"74.0""",Orthodox,16,6,"Aug 06, 1992",1992
Kultar Gill,"6' 0""",154 lbs.,--,Orthodox,12,8,"Mar 24, 1979",1979
Jesse Gillespie,--,185 lbs.,--,,3,2,--,--
Kenny Giddens,"5' 11""",155 lbs.,--,,12,7,--,--
Thomas Gifford,"6' 1""",155 lbs.,"75.0""",Orthodox,14,9,"Jul 26, 1992",1992
Joseph Gigliotti,"5' 11""",185 lbs.,--,Orthodox,7,2,"Aug 13, 1993",1993
Matt Dixon,"5' 10""",170 lbs.,"75.0""",Switch,9,1,"Oct 09, 1995",1995
Helio Dipp,"6' 5""",185 lbs.,--,Orthodox,6,3,--,--
Rico DiSciullo,"5' 8""",135 lbs.,--,Orthodox,9,2,"Oct 12, 1986",1986
Ding Meng,"6' 2""",170 lbs.,"73.0""",Orthodox,34,9,"Sep 27, 1994",1994
Rodolfo Marques Diniz,"5' 6""",135 lbs.,--,,23,9,"Jan 23, 1984",1984
Jhonata Diniz,"6' 4""",254 lbs.,"79.0""",Orthodox,8,0,"Jun 23, 1991",1991
Ralph Dillon,"6' 2""",205 lbs.,--,Orthodox,0,2,--,--
Seth Dikun,"5' 10""",135 lbs.,"69.0""",Orthodox,9,8,"Aug 05, 1980",1980
Yuji Hisamatsu,"5' 10""",185 lbs.,--,,16,22,"Sep 18, 1971",1971
Drew Dimanlig,--,185 lbs.,--,,3,4,--,--
Alan Hiro,"5' 5""",135 lbs.,--,Orthodox,14,5,"Apr 04, 1986",1986
Mizuto Hirota,"5' 7""",155 lbs.,"67.0""",Orthodox,18,10,"May 05, 1981",1981
Kuniyoshi Hironaka,"5' 10""",168 lbs.,"70.0""",Orthodox,23,9,"Jun 17, 1976",1976
TJ Dillashaw,"5' 6""",135 lbs.,"67.0""",Orthodox,18,5,"Feb 07, 1986",1986
Hatsu Hioki,"5' 11""",145 lbs.,"73.0""",Orthodox,29,10,"Jul 18, 1983",1983
Kailan Hill,"6' 1""",185 lbs.,"77.0""",Southpaw,4,1,"Dec 01, 1994",1994
Branden Lee Hinkle,"6' 3""",235 lbs.,--,Orthodox,17,11,"Jul 29, 1973",1973
Jamahal Hill,"6' 4""",205 lbs.,"79.0""",Southpaw,12,2,"May 19, 1991",1991
Tyler Hill,"6' 3""",170 lbs.,--,Switch,8,2,"Aug 10, 1991",1991
Melinda Fabian,"5' 6""",125 lbs.,"66.0""",Orthodox,4,4,"Jun 25, 1987",1987
Edward Faaloloto,"5' 9""",155 lbs.,"70.0""",Orthodox,2,5,"Jul 15, 1984",1984
Chase Gibson,"5' 10""",155 lbs.,"72.0""",Orthodox,9,5,"Feb 07, 1990",1990
Angela Hill,"5' 3""",115 lbs.,"64.0""",Orthodox,17,14,"Jan 12, 1985",1985
Cody Gibson,"5' 10""",135 lbs.,"71.0""",Orthodox,21,10,"Sep 11, 1987",1987
Urijah Faber,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,"May 14, 1979",1979
Lee Gibson,"5' 7""",155 lbs.,--,,12,4,--,--
Nick Gibbons,"5' 10""",155 lbs.,--,,2,1,--,--
Tiki Ghosn,"5' 10""",170 lbs.,--,Orthodox,10,7,"Feb 09, 1977",1977
Lance Gibson,"5' 9""",185 lbs.,--,Orthodox,4,5,"Nov 20, 1970",1970
James Giboo,"5' 11""",170 lbs.,--,Orthodox,13,5,"Jan 06, 1978",1978
Kyle Dietz,"5' 8""",135 lbs.,--,Orthodox,5,2,"Apr 29, 1986",1986
Josh Diekmann,"5' 4""",246 lbs.,--,,15,8,"Oct 09, 1976",1976
Christos Giagos,"5' 10""",155 lbs.,"71.0""",Orthodox,20,12,"Jan 23, 1990",1990
Joe Giannetti,"6' 0""",155 lbs.,"74.0""",Southpaw,6,1,"Jul 05, 1995",1995
Mark Dickman,"5' 9""",145 lbs.,--,,11,3,"Jul 19, 1984",1984
Ozzy Diaz,"6' 4""",185 lbs.,"79.0""",Orthodox,7,2,"Nov 22, 1990",1990
Adrian Diaz,"5' 10""",145 lbs.,--,Southpaw,11,4,"Apr 26, 1988",1988
Ryan Diaz,--,145 lbs.,--,,13,14,--,--
Michael Diaz,--,260 lbs.,--,,1,2,--,--
Nate Diaz,"6' 0""",170 lbs.,"76.0""",Southpaw,22,13,"Apr 16, 1985",1985
Corey Hill,"6' 4""",155 lbs.,"80.0""",Orthodox,6,9,"Oct 03, 1978",1978
Victor Dias,"5' 6""",125 lbs.,"69.0""",Orthodox,11,3,"Dec 26, 1990",1990
Nick Diaz,"6' 1""",170 lbs.,"76.0""",Southpaw,26,10,"Aug 02, 1983",1983
Richie Hightower,"5' 8""",170 lbs.,--,Orthodox,8,4,"Nov 26, 1974",1974
Alex Higley,"5' 10""",145 lbs.,--,,4,3,--,--
Isaiah Hill,"5' 10""",155 lbs.,--,,5,7,--,--
Lee Higgins,--,155 lbs.,--,,2,1,"Jul 14, 1980",1980
Brady Hiestand,"5' 8""",135 lbs.,"71.0""",Orthodox,9,2,"Apr 30, 1999",1999
Jason High,"5' 8""",155 lbs.,"73.0""",Southpaw,21,6,"Oct 12, 1981",1981
Jay Hieron,"6' 0""",170 lbs.,"75.0""",Orthodox,23,7,"Jul 29, 1976",1976
Conor Heun,"5' 10""",155 lbs.,--,Orthodox,9,5,"Feb 11, 1979",1979
Yanis Ghemmouri,"5' 9""",135 lbs.,"69.0""",Orthodox,12,3,"Jan 24, 1995",1995
Marcus Hicks,"5' 6""",155 lbs.,"64.0""",Southpaw,10,4,"Nov 25, 1975",1975
Karine Gevorgyan,"5' 4""",125 lbs.,"63.0""",,3,3,"Mar 09, 1989",1989
Brian Geraghty,"5' 7""",155 lbs.,--,Orthodox,26,18,"Nov 04, 1980",1980
Derek Getzel,"6' 0""",155 lbs.,--,,8,5,--,--
Chad George,"5' 6""",135 lbs.,"68.0""",Southpaw,16,8,"Apr 30, 1982",1982
Paul Georgieff,"6' 2""",170 lbs.,--,Orthodox,6,2,"Sep 22, 1982",1982
Ateba Gautier,--,185 lbs.,--,,5,1,--,--
Charlene Gellner,"5' 2""",125 lbs.,--,,0,4,--,--
Shamil Gaziev,"6' 4""",265 lbs.,"78.0""",Orthodox,13,1,"Feb 10, 1990",1990
Manuel Gaxhja,"5' 8""",155 lbs.,--,Switch,7,0,"Jul 23, 1997",1997
Blood Diamond,"5' 11""",170 lbs.,"76.0""",Switch,3,3,"Jul 10, 1988",1988
Hacran Dias,"5' 8""",155 lbs.,"69.0""",Orthodox,23,6,"Jun 16, 1984",1984
Rafael Dias,"5' 9""",145 lbs.,--,Orthodox,17,12,"Oct 20, 1979",1979
Tyler Diamond,"5' 7""",145 lbs.,"69.0""",Orthodox,9,1,"Mar 18, 1991",1991
Marc Diakiese,"5' 10""",155 lbs.,"73.0""",Orthodox,17,7,"Mar 16, 1993",1993
Eldo Xavier Dias,"5' 11""",180 lbs.,--,,0,1,"Jul 16, 1964",1964
Micol Di Segni,"5' 3""",115 lbs.,"60.0""",Orthodox,7,3,"Dec 29, 1987",1987
Thomas Diagne,"6' 1""",154 lbs.,--,,6,6,"Sep 03, 1983",1983
Alessio Di Chirico,"6' 0""",185 lbs.,"74.0""",Orthodox,13,7,"Dec 12, 1989",1989
Cyrille Diabate,"6' 6""",205 lbs.,"81.0""",Southpaw,19,10,"Oct 06, 1973",1973
Edwin DeWees,"6' 1""",185 lbs.,--,Orthodox,38,17,"Aug 07, 1982",1982
Jimy Hettes,"5' 9""",145 lbs.,"71.0""",Southpaw,11,3,"Jun 09, 1987",1987
Clint Hester,"6' 2""",205 lbs.,"77.0""",Orthodox,11,6,"Nov 21, 1986",1986
Jon Hess,"6' 7""",295 lbs.,--,,1,1,--,--
Brandon Hester,"6' 1""",205 lbs.,--,,3,0,--,--
Felice Herrig,"5' 4""",115 lbs.,"65.0""",Orthodox,14,10,"Sep 18, 1984",1984
Alvaro Herrera Mendoza,"6' 0""",155 lbs.,"74.0""",Orthodox,9,6,"May 14, 1990",1990
Chris Herrera,"5' 10""",185 lbs.,--,,3,2,--,--
Heath Herring,"6' 4""",250 lbs.,"78.0""",Orthodox,28,16,"Mar 02, 1978",1978
Sean Gauci,--,125 lbs.,--,,9,1,"Oct 07, 1996",1996
Geane Herrera,"5' 5""",125 lbs.,"66.0""",Orthodox,9,3,"May 27, 1990",1990
Paul Herrera,"5' 10""",185 lbs.,--,Orthodox,1,1,--,--
Louis Gaudinot,"5' 3""",125 lbs.,"63.0""",Orthodox,8,4,"Aug 28, 1984",1984
Willie Gates,"5' 8""",125 lbs.,"72.0""",Orthodox,12,7,"Jan 21, 1987",1987
Melissa Gatto,"5' 5""",135 lbs.,"69.0""",Orthodox,9,2,"May 02, 1996",1996
Azamat Gashimov,"5' 6""",125 lbs.,--,Orthodox,8,3,"Apr 07, 1990",1990
David Gardner,"5' 11""",155 lbs.,--,Orthodox,18,21,"May 17, 1977",1977
Kelvin Gastelum,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,"Oct 24, 1991",1991
Brian Gassaway,"6' 1""",170 lbs.,--,Orthodox,29,20,"Aug 07, 1972",1972
Rulon Gardner,"6' 3""",265 lbs.,--,Orthodox,1,0,"Aug 16, 1971",1971
John Devine,--,--,--,,6,4,--,--
Pablo Garza,"6' 1""",145 lbs.,"73.0""",Orthodox,12,4,"Sep 16, 1983",1983
Robelis Despaigne,"6' 7""",265 lbs.,"84.0""",Orthodox,5,1,"Sep 09, 1988",1988
Tony DeSouza,"6' 0""",170 lbs.,"70.0""",Southpaw,11,4,"Jul 26, 1974",1974
Cory Devela,"5' 0""",185 lbs.,--,Orthodox,16,7,--,--
Booker DeRousse,"6' 2""",205 lbs.,--,,6,5,"Mar 23, 1981",1981
Jason Dent,"5' 10""",155 lbs.,"71.0""",Orthodox,22,13,"Jun 12, 1980",1980
Mackenzie Dern,"5' 4""",115 lbs.,"63.0""",Orthodox,14,5,"Mar 24, 1993",1993
Robert Densley,"5' 9""",155 lbs.,--,,9,10,--,--
Nick Denis,"5' 7""",135 lbs.,--,Orthodox,11,3,"Oct 11, 1983",1983
Leslie Hernandez,--,115 lbs.,--,,4,1,--,--
Thomas Denny,"5' 10""",170 lbs.,--,Orthodox,27,21,"Apr 19, 1971",1971
Carlos Hernandez,"5' 8""",125 lbs.,"67.0""",Orthodox,9,4,"Oct 25, 1993",1993
Nohelin Hernandez,"5' 10""",135 lbs.,"71.0""",Orthodox,9,4,"Mar 01, 1994",1994
Ramiro Hernandez,"5' 9""",135 lbs.,--,Orthodox,19,9,"Jul 22, 1986",1986
Anthony Hernandez,"6' 0""",185 lbs.,"75.0""",Orthodox,12,2,"Oct 18, 1993",1993
Noe Hernandez,"5' 10""",--,--,Orthodox,5,5,--,--
Alexander Hernandez,"5' 9""",145 lbs.,"72.0""",Orthodox,14,8,"Oct 01, 1992",1992
Joe Hernandez,--,--,--,,0,1,--,--
Dave Herman,"6' 4""",242 lbs.,"77.0""",Orthodox,22,6,"Oct 03, 1984",1984
Jack Hermansson,"6' 1""",185 lbs.,"77.0""",Orthodox,24,8,"Jun 10, 1988",1988
Fernie Garcia,"5' 7""",135 lbs.,"67.0""",Orthodox,10,5,"Apr 12, 1992",1992
Elias Garcia,"5' 5""",125 lbs.,"67.0""",Southpaw,6,2,"Sep 13, 1992",1992
Rafa Garcia,"5' 7""",155 lbs.,"70.0""",Orthodox,16,3,"Aug 05, 1994",1994
Nick Garcia,"5' 4""",125 lbs.,--,,8,3,--,--
Steve Garcia,"6' 0""",145 lbs.,"75.0""",Southpaw,16,5,"May 22, 1992",1992
Alex Garcia,"5' 9""",170 lbs.,"72.0""",Orthodox,15,6,"Jul 14, 1987",1987
Alejandro Garcia,"5' 7""",145 lbs.,--,,14,10,--,--
Edgar Garcia,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,"Feb 22, 1984",1984
Leonard Garcia,"5' 10""",145 lbs.,"68.0""",Orthodox,18,13,"Jul 14, 1979",1979
Chris Dempsey,"5' 10""",185 lbs.,"72.0""",Orthodox,11,5,"Sep 08, 1987",1987
Cody Garbrandt,"5' 8""",135 lbs.,"65.0""",Orthodox,14,6,"Jul 07, 1991",1991
Vanessa Demopoulos,"5' 2""",115 lbs.,"59.0""",Orthodox,11,5,"Sep 22, 1988",1988
Justin DeMoney,--,170 lbs.,--,,15,7,"Jul 01, 1985",1985
Jon Delos Reyes,"5' 6""",125 lbs.,"67.0""",Orthodox,8,5,"Aug 19, 1987",1987
Jason DeLucia,"5' 11""",190 lbs.,--,Southpaw,33,21,"Jul 24, 1969",1969
Roland Delorme,"5' 9""",135 lbs.,"71.0""",Orthodox,9,5,"Dec 18, 1983",1983
Ante Delija,"6' 4""",245 lbs.,--,Orthodox,17,3,"Aug 07, 1990",1990
Jack Della Maddalena,"5' 11""",170 lbs.,"73.0""",Switch,17,2,"Sep 10, 1996",1996
Jose Delgado,"5' 11""",145 lbs.,"73.0""",Switch,8,1,"Apr 21, 1998",1998
Jai Herbert,"6' 1""",155 lbs.,"77.0""",Orthodox,13,5,"May 13, 1988",1988
Israel Delgado,"5' 10""",155 lbs.,--,,0,2,--,--
Victor Henry,"5' 7""",135 lbs.,"68.0""",Switch,24,6,"May 04, 1987",1987
TJ Hepburn,"5' 7""",155 lbs.,--,,4,2,--,--
Ed Herman,"6' 1""",205 lbs.,"77.0""",Orthodox,27,16,"Oct 02, 1980",1980
Jose Henrique,"6' 3""",170 lbs.,"79.0""",Orthodox,5,1,"May 23, 2002",2002
Diego Henrique da Silva,"6' 2""",185 lbs.,--,Orthodox,8,4,"Aug 22, 1986",1986
Luis Henrique,"6' 2""",243 lbs.,"74.0""",Orthodox,10,5,"Aug 21, 1993",1993
Cory Hendricks,"6' 3""",205 lbs.,--,Switch,3,1,"May 10, 1988",1988
Danny Henry,"6' 0""",145 lbs.,"73.0""",Orthodox,12,4,"Jul 17, 1988",1988
Sean Gannon,"6' 3""",265 lbs.,--,Southpaw,2,1,--,--
Eduardo Garagorri,"5' 9""",145 lbs.,"70.0""",Orthodox,13,2,"May 28, 1989",1989
Junye Gao,--,125 lbs.,--,,19,12,--,--
Shamil Gamzatov,"6' 2""",205 lbs.,"76.0""",Orthodox,14,1,"Aug 09, 1990",1990
Ariel Gandulla,"5' 11""",205 lbs.,--,Orthodox,7,9,"May 07, 1968",1968
Ciryl Gane,"6' 4""",245 lbs.,"81.0""",Orthodox,12,2,"Apr 12, 1990",1990
Mateusz Gamrot,"5' 10""",155 lbs.,"70.0""",Southpaw,24,3,"Dec 11, 1990",1990
Lucas Gamaza,--,170 lbs.,--,,8,4,--,--
Joey Gambino,"5' 7""",145 lbs.,--,Orthodox,9,2,"Oct 26, 1988",1988
Manvel Gamburyan,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10,"May 08, 1981",1981
Rolando Delgado,"6' 3""",155 lbs.,"77.0""",Orthodox,11,6,"Nov 22, 1981",1981
Wallen Del Rosario,"5' 4""",125 lbs.,"67.0""",Orthodox,8,2,"Mar 18, 1993",1993
Rafael Del Real,"5' 11""",225 lbs.,--,,6,20,--,--
Humberto DeLeon,--,135 lbs.,--,,7,7,"Nov 12, 1989",1989
Issac DeJesus,--,145 lbs.,--,,12,7,--,--
Carl Deaton,"5' 7""",155 lbs.,"69.0""",Orthodox,17,7,"Nov 24, 1989",1989
Tom DeBlass,"6' 0""",185 lbs.,--,Orthodox,9,2,"May 14, 1982",1982
Crezio de Souza,--,170 lbs.,--,Orthodox,1,2,--,--
Josh Hendricks,"6' 2""",235 lbs.,--,Southpaw,19,11,"Aug 28, 1976",1976
Ron Henderson,"5' 10""",125 lbs.,--,,4,3,--,--
Shane del Rosario,"6' 4""",250 lbs.,--,Southpaw,11,2,"Sep 23, 1983",1983
Germaine de Randamie,"5' 9""",135 lbs.,"71.0""",Orthodox,10,5,"Apr 24, 1984",1984
Johny Hendricks,"5' 9""",185 lbs.,"69.0""",Southpaw,18,8,"Sep 12, 1983",1983
Elisha Helsper,"5' 6""",135 lbs.,--,Orthodox,0,4,"Feb 06, 1983",1983
Dan Henderson,"5' 11""",185 lbs.,"74.0""",Orthodox,32,15,"Aug 24, 1970",1970
Benson Henderson,"5' 9""",170 lbs.,"70.0""",Southpaw,24,7,"Nov 16, 1983",1983
Matt Helm,--,155 lbs.,--,,1,1,--,--
Ian Heinisch,"5' 11""",185 lbs.,"72.0""",Orthodox,14,5,"Aug 05, 1988",1988
Marcin Held,"5' 9""",155 lbs.,"71.0""",Orthodox,23,7,"Jan 18, 1992",1992
Delson Heleno,"5' 11""",185 lbs.,--,Orthodox,29,10,"Nov 16, 1977",1977
Andre Galvao,"5' 7""",168 lbs.,--,Orthodox,5,2,"Sep 29, 1982",1982
Eric Galvan,--,155 lbs.,--,,0,0,--,--
Turrell Galloway,"5' 3""",145 lbs.,--,,8,6,--,--
Tom Gallicchio,"5' 10""",170 lbs.,--,Southpaw,19,10,"Sep 23, 1986",1986
Daniel Gallemore,"6' 5""",265 lbs.,--,,7,3,--,--
Gloria de Paula,"5' 5""",115 lbs.,"67.0""",Orthodox,6,5,"Jun 10, 1995",1995
Mickey Gall,"6' 2""",170 lbs.,"74.0""",Switch,7,6,"Jan 22, 1992",1992
Zelg Galesic,"6' 2""",185 lbs.,--,Orthodox,11,9,"Feb 16, 1979",1979
Isabela de Padua,"5' 3""",125 lbs.,"64.0""",Orthodox,5,2,"Sep 04, 1991",1991
Jorge de Oliveira,"5' 8""",155 lbs.,--,Orthodox,9,2,"Jan 22, 1980",1980
Dave Galera,"5' 11""",135 lbs.,--,Orthodox,5,1,"Jan 12, 1978",1978
Travis Galbraith,"6' 0""",170 lbs.,--,Orthodox,18,7,"May 18, 1981",1981
Rodrigo de Lima,"5' 7""",155 lbs.,--,Orthodox,8,3,"Mar 12, 1991",1991
